# OpenMS Rust Modification Table, generated 2026-09-10
# Derived from UniMod (C) 2002-2006 Unimod, Design Science License,
# and OpenMS custom modifications, BSD-3-Clause. See README.md.
# id	name	full_name	site	term	mono_delta	average_delta	formula	hidden	classification	neutral_losses
1	Acetyl	Acetylation	T	anywhere	42.010565	42.0367	C2H2O1	1	Post-translational	
1	Acetyl	Acetylation	N-term	protein-n-term	42.010565	42.0367	C2H2O1	0	Post-translational	
1	Acetyl	Acetylation	S	anywhere	42.010565	42.0367	C2H2O1	1	Post-translational	
1	Acetyl	Acetylation	C	anywhere	42.010565	42.0367	C2H2O1	1	Post-translational	
1	Acetyl	Acetylation	N-term	n-term	42.010565	42.0367	C2H2O1	0	Multiple	
1	Acetyl	Acetylation	K	anywhere	42.010565	42.0367	C2H2O1	0	Multiple	
1	Acetyl	Acetylation	Y	anywhere	42.010565	42.0367	C2H2O1	1	Chemical derivative	
1	Acetyl	Acetylation	H	anywhere	42.010565	42.0367	C2H2O1	1	Chemical derivative	
1	Acetyl	Acetylation	R	anywhere	42.010565	42.0367	C2H2O1	1	Artefact	
2	Amidated	Amidation	C-term	c-term	-0.984016	-0.9848	H1N1O-1	0	Artefact	
2	Amidated	Amidation	C-term	protein-c-term	-0.984016	-0.9848	H1N1O-1	0	Post-translational	
3	Biotin	Biotinylation	N-term	n-term	226.077598	226.2954	C10H14N2O2S1	1	Chemical derivative	
3	Biotin	Biotinylation	K	anywhere	226.077598	226.2954	C10H14N2O2S1	1	Post-translational	
4	Carbamidomethyl	Iodoacetamide derivative	Y	anywhere	57.021464	57.0513	C2H3N1O1	1	Artefact	
4	Carbamidomethyl	Iodoacetamide derivative	T	anywhere	57.021464	57.0513	C2H3N1O1	1	Artefact	
4	Carbamidomethyl	Iodoacetamide derivative	S	anywhere	57.021464	57.0513	C2H3N1O1	1	Artefact	
4	Carbamidomethyl	Iodoacetamide derivative	E	anywhere	57.021464	57.0513	C2H3N1O1	1	Artefact	
4	Carbamidomethyl	Iodoacetamide derivative	D	anywhere	57.021464	57.0513	C2H3N1O1	1	Artefact	
