# name	category	version	executable
AccurateMassSearch	Metabolite Identification	1.0.0	bin/AccurateMassSearch
AssayGeneratorMetabo	Targeted Experiments and OpenSWATH	1.0.0	bin/AssayGeneratorMetabo
AssayGeneratorMetaboSirius	Targeted Experiments and OpenSWATH	1.0.0	bin/AssayGeneratorMetaboSirius
BaselineFilter	Spectrum Processing: Peak Smoothing and Normalization	1.0.0	bin/BaselineFilter
CVInspector	[for Developers]	1.0.0	bin/CVInspector
ClusterMassTraces	Misc	1.0.0	bin/ClusterMassTraces
ClusterMassTracesByPrecursor	Targeted Experiments and OpenSWATH	1.0.0	bin/ClusterMassTracesByPrecursor
ConsensusID	Identification Processing	1.0.0	bin/ConsensusID
ConsensusMapNormalizer	Quantitation	1.0.0	bin/ConsensusMapNormalizer
DTAExtractor	File Filtering, Extraction and Merging	1.0.0	bin/DTAExtractor
DatabaseFilter	File Filtering, Extraction and Merging	1.0.0	bin/DatabaseFilter
DeMeanderize	Misc	1.0.0	bin/DeMeanderize
Decharger	Quantitation	1.0.0	bin/Decharger
DecoyDatabase	File Filtering, Extraction and Merging	1.0.0	bin/DecoyDatabase
Digestor	Identification Processing	1.0.0	bin/Digestor
DigestorMotif	Identification Processing	1.0.0	bin/DigestorMotif
EICExtractor	Quantitation	1.0.0	bin/EICExtractor
Epifany	Identification Processing	1.0.0	bin/Epifany
ExternalCalibration	Mass Correction and Calibration	1.0.0	bin/ExternalCalibration
FalseDiscoveryRate	Identification Processing	1.0.0	bin/FalseDiscoveryRate
FeatureFinderCentroided	Quantitation	1.0.0	bin/FeatureFinderCentroided
FeatureFinderIdentification	Quantitation	1.0.0	bin/FeatureFinderIdentification
FeatureFinderLFQ	Quantitation	1.0.0	bin/FeatureFinderLFQ
FeatureFinderMetabo	Quantitation	1.0.0	bin/FeatureFinderMetabo
FeatureFinderMetaboIdent	Quantitation	1.0.0	bin/FeatureFinderMetaboIdent
FeatureFinderMultiplex	Quantitation	1.0.0	bin/FeatureFinderMultiplex
FeatureLinkerLabeled	Feature Linking	1.0.0	bin/FeatureLinkerLabeled
FeatureLinkerUnlabeled	Feature Linking	1.0.0	bin/FeatureLinkerUnlabeled
FeatureLinkerUnlabeledKD	Feature Linking	1.0.0	bin/FeatureLinkerUnlabeledKD
FeatureLinkerUnlabeledQT	Feature Linking	1.0.0	bin/FeatureLinkerUnlabeledQT
FileConverter	File Converter	1.0.0	bin/FileConverter
FileFilter	File Filtering, Extraction and Merging	1.0.0	bin/FileFilter
FileInfo	File Filtering, Extraction and Merging	1.0.0	bin/FileInfo
FileMerger	File Filtering, Extraction and Merging	1.0.0	bin/FileMerger
FuzzyDiff	[for Developers]	1.0.0	bin/FuzzyDiff
GNPSExport	File Converter	1.0.0	bin/GNPSExport
HighResPrecursorMassCorrector	Mass Correction and Calibration	1.0.0	bin/HighResPrecursorMassCorrector
IDConflictResolver	Identification Processing	1.0.0	bin/IDConflictResolver
IDDecoyProbability	Identification Processing	1.0.0	bin/IDDecoyProbability
IDExtractor	Identification Processing	1.0.0	bin/IDExtractor
IDFileConverter	File Converter	1.0.0	bin/IDFileConverter
IDFilter	File Filtering, Extraction and Merging	1.0.0	bin/IDFilter
IDMapper	Identification Processing	1.0.0	bin/IDMapper
IDMerger	File Filtering, Extraction and Merging	1.0.0	bin/IDMerger
